5693	59.3	35478.09	23757.16896	16937.58936	2.59	3248.3159	6801.2572	15649.2	1716.6	751526	610.619066	20853.57	32282.361	15311988.01	46369	10330773	1400918	2104.74	1278.1419	3136.3098	265.74	857.644646	36357	376185
6342	54.62	33902.96	23102.71087	17160.40278	4.02	2757.8212	6869.3867	13436.5	1107.5	502984	684.16402	17585.44	31959.2273	4548845.43	37916	2031915	1273208	1295.37	1500.540383	2433.8662	192.64	929.106812	58624	452335
9442.07	69.85	89705.23	33003.28516	24819.62762	2.47	11320.3497	15037.4788	34739.1	15683.3	1752016	6431.863467	39657.52	37761.7454	96812074.53	332652	9370755	1925775	19960.40	2012.472335	68168.7615	2526.29	3579.696232	49874	492064
4719	49.21	18523.26	19904.75763	13423.66074	2.21	1615.1273	4908.5507	7027.3	458.3	409008	298.748114	9364.46	20499.1106	813490.04	15270	394228	866716	2395.63	778.314907	3912.4134	88.04	711.649153	34008	241140
835.88	58.04	4462.54	22553.23778	15402.72506	2.33	674.105	1443.9723	1453.7	213.4	77662	610.02248	2815.67	4244.4012	1036893.82	2133	41079	185538	681.02	129.2910895	702.7621	19	251.267533	5180	41954
2808	64.08	19424.73	24152.98821	17898.05333	3.35	2252.3788	4336.28	7271.4	794.6	520514	601.7893	10380.68	17537.0476	12129036.07	34780	513581	746859	1947.59	496.341228	4508.0726	99.95	611.48302	19682	206376
8169	50.79	36980.22	20579.81825	16179.94133	4.01	3577.9887	8694.7591	15601.9	2013.4	401716	658.223169	18021.18	31902.085	27822348.88	64006	4058307	1499715	1446.54	881.5152864	4604.8672	269.26	1245.989468	80481	563475
3690	46.02	13540.8256	16703.64828	12969.61502	3.23	1613.8377	4612.5164	3709	352.5	342972	167.091956	9356.45	15503.8556	1297262.08	12559	807409	627672	283.27	720.1303	551.2843	53.23	836.118739	28034	232990
4483	46.69	16376.34	18348.34421	12658.11673	3.2	1886.1687	5712.9709	5722.9	388.6	457374	214.485885	15486.95	18935.9862	776748.77	14230	847625	705854	3550.33	453.38615	1582.489	66.24	1143.467833	24684	274809
285.08	30.89	1310.92	15457.29931	10320.11549	2.68	185.8341	1681.9444	459.4	26.5	9461	21.169361	1376.13	1975.6006		420	440	35643	197.51	44.75918	58.6569	3.44	45.209493	6826	16103
3699	56.79	21898.81	20635.20865	14899.66634	3.28	2006.6939	4833.1854	7367.6	1171.8	333776	472.69044	14414.84	23819.3779	15935958.53	34554	9209395	1069374	2704.40	760.86112	2719.2334	116.31	836.002351	35861	241265
2546.79	46.39	7459.899529	16010.9997	13120.10634	2.71	815.7323	3304.4417	3184.4	235.6	127899	159.965286	3804.55	5827.7507	457531.35	9672	1629587	466185	20.86	619.6486376	326.1407	26.74	456.190861	28857	146613
547.7	53.07	2624.83	19001.02232	15503.13276	3.05	246.1961	1530.4375	767.3	32.3	76169	29.541278	3897.01	3883.5539	8743.96	1580	677186	66974	38.29	136.802204	44.4517	6.01	161.683906	6375	38321
603.73	57.98	3443.56	20561.66316	15350.28906	3.87	417.5888	1372.7841	850.1	45.2	63463	228.544926	3806.87	3728.3788	155507.55	4244	66679	121051	37.63	99.19000764	341.5227	15.32	204.869608	4271	39820
2050	49.38	10881.96	19975.09801	15087.2987	2.58	1466.5189	4637.2435	2825.9	76.7	176740	80.8941	10852.08	12089.1177	545279.81	8094	57554	346044	810.81	428.54002	1392.2983	32.52	333.275476	18724	167577
